box_number,box_code,box_name,eligible_voters,valid_votes,invalid_votes,total_votes,male_voted,female_voted,candidate_1_votes,candidate_2_votes,candidate_3_votes,candidate_4_votes,candidate_5_votes,candidate_6_votes,candidate_7_votes,candidate_8_votes,verified
T09,T09.1.2,199  | Maafannu Uthuru - 2,682,491,5,496,229,267,22,1,156,195,10,17,63,27,1
T09,T09.1.3,200 | Maafannu Uthuru - 3,639,430,12,442,214,228,10,0,158,190,5,36,25,6,1
T09,T09.1.4,201 | Maafannu Uthuru - 4,808,591,8,599,291,308,17,0,228,215,12,26,83,10,1
T09,T09.1.5,202 | Maafannu Uthuru - 5,769,551,12,563,293,270,17,2,215,196,15,38,62,6,1
T10,T10.1.1,203 | Maafannu Hulhangu - 1,654,511,6,517,273,244,31,2,184,202,21,20,49,2,1
T10,T10.1.2,204 | Maafannu Hulhangu - 2,730,537,4,541,265,276,24,1,263,156,9,28,50,6,1
T10,T10.1.3,205 | Maafannu Hulhangu - 3,797,568,21,589,280,309,23,1,242,216,6,17,57,6,1
T10,T10.1.4,206 | Maafannu Hulhangu - 4,789,584,7,591,302,289,28,1,227,257,14,13,39,5,1
T10,T10.1.5,207 | Maafannu Hulhangu - 5,651,467,2,469,249,220,34,4,154,207,5,22,37,4,1
T11,T11.1.1,208 | Maafannu Medhu - 1,694,547,6,553,284,269,24,3,236,202,17,17,43,5,1
T11,T11.1.2,209 | Maafannu Medhu - 2,738,534,5,539,266,273,26,1,186,244,16,20,32,9,1
T11,T11.1.3,210 | Maafannu Medhu - 3,711,525,10,535,254,281,29,1,189,223,9,28,43,3,1
T11,T11.1.4,211 | Maafannu Medhu - 4,684,526,6,532,262,270,18,2,181,226,5,20,71,3,1
T11,T11.1.5,212 | Maafannu Medhu - 5,754,589,9,598,276,322,22,1,206,262,23,17,56,2,1
T12,T12.1.1,213 | Maafannu Dhekunu - 1,688,510,7,517,242,275,11,0,181,268,7,16,25,2,1
T12,T12.1.2,214 | Maafannu Dhekunu - 2,679,545,5,550,281,269,17,0,196,279,13,13,21,6,1
